Date,USD,EUR,GBP,INR,AED,CNY
2000,279.1,302.74148,184.342,12532.1612,1025.12139,2310.52124
2001,271.04,302.86333,188.25986,12788.4389,995.50618,2243.38052
2002,309.68,327.97053,206.1346,15041.9773,1137.44154,2563.18651
2003,363.32,321.23011,222.21281,16904.9105,1334.4564,3007.22538
2004,409.17,329.16103,223.37467,18523.913,1502.86101,3386.5759
2005,444.45,358.33936,244.85235,19599.1786,1632.40021,3639.50066
2006,603.77,480.59317,327.68464,27358.6381,2217.61429,4813.31894
2007,695.39,506.81233,347.00424,28688.9728,2553.59494,5284.5879
2008,871.96,593.19118,471.59251,37767.5602,3202.59423,6064.27531
2009,972.35,697.01955,621.18976,47001.532,3571.35929,6642.12299
2010,1224.52,925.18936,792.40733,55977.9256,4497.52269,8283.15847
2011,1571.52,1129.92459,980.75636,73479.1698,5772.12114,10148.41256
2012,1668.98,1298.7161,1052.98003,89078.5042,6130.16849,10529.5101
2013,1411.23,1063.76915,903.81239,82238.137,5183.43387,8683.8444
2014,1266.4,952.82571,768.14916,77245.7203,4651.50598,7802.19659
2015,1160.06,1045.29709,758.98199,74347.3639,4260.8897,7285.48355
2016,1250.8,1129.45348,927.34224,84021.528,4594.17704,8306.04154
2017,1257.15,1114.05904,976.05851,81863.6221,4617.44363,8494.75064
2018,1268.49,1073.6977,949.60552,86658.282,4659.26967,8379.74188
2019,1392.6,1244.87505,1092.9256,98108.183,5115.16917,9634.22447
2020,1769.59,1549.04471,1378.98099,131199.9554,6499.9529,12205.48197
2021,1798.61,1520.62257,1307.53174,132967.8751,6606.55046,11600.56405
